Num,Accurate Mass,Neutral Loss,Formula,Charge,Pos,Neg,Ion source,substructue or compound class
138,"260,030",C6H13O9P,C6H13O9P,1,+,-,ESI,Lysophosphatidylinositols (Lyso-PI)
139,"261,028",C6H13O9S,C6H13O9S,1,+,-,ESI,Sulfoquinovosyldiacylglycerols (SQDG)
140,"266,064",MalonylGlc,C9H14O9,1,+,-,ESI/APCI,Malonylglucuronides (benzylic)
141,"273,096",?-GluAlaGly-2H,C10H15N3O6,1,+,+,ESI,GSH(glutathione conjugates)
142,"275,112",?-GluAlaGly(pos),C10H17N3O6,1,+,-,ESI/APCI,Aryl-GSH(glutathione conjugates)
143,"277,056",C6H16NO9P,C6H16NO9P,1,+,-,ESI,Phosphatidylinositols (PI)
144,"306,076",Glutathione(neg),C10H16N3O6S,1,-,+,ESI,GSH(glutathione conjugates)
145,"307,084",Glutathione,C10H17N3O6S,1,+,-,ESI/APCI,Glutathione conjugates
146,"316,056",C9H17O10P,C9H17O10P,1,-,+,ESI,Lysophosphatidylinositols (Lyso-PI)
147,"341,132",C12H23NO10,C12H23NO10,1,+,-,ESI,Digalactosyldiacylglycerols (DGDG)
